epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7377,2.27548,3.57321,3.92237,1.56534,0.01212,0.1186,0.04486,0.00906,0.01071,0.10526,0.04735,0.01052,1.91613,3.39136,3.99297,1.36092,0.00031108,0.00031108,0.00031108
2,52.7022,1.75298,2.93651,2.44395,1.17105,0.03258,0.20465,0.14926,0.05976,0.02685,0.17513,0.10356,0.03511,1.57005,3.18149,3.55048,1.08484,0.000608193,0.000608193,0.000608193
3,75.9905,1.64918,2.83807,1.52806,1.14064,0.95008,0.13132,0.18618,0.09006,0.91052,0.10237,0.12295,0.04799,1.55555,3.5236,2.96266,1.06647,0.000879788,0.000879788,0.000879788
4,99.5748,1.553,2.6817,1.27701,1.11989,0.70091,0.24022,0.57688,0.33312,0.6444,0.1769,0.47579,0.23179,1.52489,2.86122,2.05461,1.09455,0.000979013,0.000979013,0.000979013
5,123.095,1.53857,2.64009,1.15702,1.11022,0.67065,0.61677,0.65005,0.3918,0.63894,0.57794,0.58904,0.2838,1.44701,2.79128,1.35515,1.07452,0.000935018,0.000935018,0.000935018
6,146.949,1.46404,2.50835,1.06976,1.07811,0.76976,0.68836,0.75439,0.44937,0.67395,0.61927,0.66047,0.34794,1.40862,2.64743,0.98851,1.07185,0.000891022,0.000891022,0.000891022
7,171.431,1.44611,2.52364,1.02455,1.07054,0.90002,0.74063,0.83047,0.5186,0.85706,0.69047,0.75669,0.38158,1.3987,2.48269,0.94368,1.06446,0.000847026,0.000847026,0.000847026
8,196.622,1.3853,2.40352,0.95196,1.05839,0.91855,0.78466,0.87083,0.54832,0.86898,0.73035,0.79863,0.40868,1.33799,2.39979,0.88505,1.04375,0.000803031,0.000803031,0.000803031
9,221.784,1.37958,2.34508,0.91753,1.03882,0.92744,0.81533,0.8908,0.555,0.88737,0.76585,0.82236,0.40611,1.31172,2.36492,0.82499,1.04227,0.000759035,0.000759035,0.000759035
10,247.859,1.34812,2.30954,0.87074,1.02787,0.93918,0.82205,0.90039,0.57992,0.87858,0.75973,0.81443,0.4076,1.25111,2.30504,0.78357,1.01794,0.00071504,0.00071504,0.00071504
11,272.611,1.33384,2.29706,0.86246,1.02252,0.93389,0.8419,0.90373,0.57557,0.89032,0.799,0.84584,0.4346,1.29065,2.25369,0.76907,1.0207,0.000671044,0.000671044,0.000671044
12,297.341,1.37233,2.24649,0.84538,1.03119,0.93968,0.83102,0.90911,0.59056,0.88714,0.77267,0.82631,0.41039,1.23275,2.22331,0.76816,1.01149,0.000627048,0.000627048,0.000627048
13,321.783,1.33365,2.23982,0.84063,1.02028,0.94639,0.82715,0.90989,0.59615,0.90552,0.78127,0.84705,0.43669,1.23742,2.18463,0.73659,1.01156,0.000583053,0.000583053,0.000583053
14,346.273,1.29243,2.14717,0.81846,1.00598,0.93409,0.84845,0.91274,0.59306,0.88603,0.79071,0.84178,0.42132,1.22297,2.15143,0.75507,1.01898,0.000539057,0.000539057,0.000539057
15,370.698,1.29403,2.17969,0.80344,1.0041,0.94636,0.85217,0.91896,0.60093,0.9051,0.81031,0.86319,0.44637,1.22017,2.11948,0.71031,0.99985,0.000495062,0.000495062,0.000495062
16,449.203,1.24907,2.13027,0.83043,1.0134,0.93274,0.85649,0.91784,0.59505,0.88033,0.79334,0.83419,0.41716,1.25046,2.17874,0.7753,1.01092,0.000451066,0.000451066,0.000451066
17,470.343,1.24323,2.07666,0.78862,1.01378,0.95053,0.84735,0.92368,0.6016,0.90281,0.79387,0.85832,0.43938,1.21517,2.12074,0.72708,0.99746,0.00040707,0.00040707,0.00040707
18,492.544,1.21829,2.05797,0.77096,0.99838,0.94901,0.86119,0.92805,0.61013,0.89853,0.81476,0.86542,0.43471,1.2082,2.08533,0.70202,0.99557,0.000363075,0.000363075,0.000363075
19,516.378,1.22281,2.03068,0.75195,1.003,0.93725,0.86554,0.92721,0.60768,0.89751,0.81307,0.86828,0.44729,1.20628,2.08006,0.68894,0.99648,0.000319079,0.000319079,0.000319079
20,540.295,1.22226,2.02061,0.74574,0.99767,0.94461,0.87485,0.92973,0.61556,0.90535,0.82926,0.87349,0.44594,1.19271,2.02035,0.67471,0.99386,0.000275084,0.000275084,0.000275084
21,564.347,1.20587,1.9904,0.74113,0.99494,0.95631,0.87281,0.93009,0.62374,0.91813,0.84071,0.88787,0.47143,1.17187,1.9951,0.67278,0.97648,0.000231088,0.000231088,0.000231088
22,587.946,1.19137,1.97655,0.72956,0.98198,0.95816,0.88198,0.93737,0.62629,0.90825,0.83314,0.88039,0.45363,1.17355,1.99447,0.66937,0.98887,0.000187092,0.000187092,0.000187092
23,611.697,1.1837,1.95453,0.72039,0.98044,0.95671,0.87686,0.93691,0.62619,0.90956,0.8295,0.87762,0.4481,1.15126,1.98721,0.65855,0.97322,0.000143097,0.000143097,0.000143097
24,635.657,1.17764,1.95002,0.70953,0.98175,0.96312,0.87942,0.93817,0.63167,0.91989,0.83921,0.88816,0.4571,1.14628,1.95446,0.64993,0.98035,9.91012e-05,9.91012e-05,9.91012e-05
25,659.54,1.16338,1.95007,0.70656,0.97554,0.95891,0.88099,0.93761,0.63223,0.9202,0.84476,0.89076,0.46733,1.14004,1.95252,0.6431,0.96702,5.51056e-05,5.51056e-05,5.51056e-05
